"Dataset","Chemical","CAS","KE1_call","KE2_call","KE3_call","LLNA_call","Misclassified","KE1_metric","KE1_metric__present","KS_call","KS_call__present","LuSens_call","LuSens_call__present","hCLAT_call","hCLAT_call__present","USENS_call","USENS_call__present","LLNA_EC3","LLNA_EC3__present","complete_case"
"ICE","Linalool","78-70-6","0.0","0.0","1.0","1.0","1.0","2.6500000000000004","1","Inactive","1","","0","Active","1","Active","1","42.5","1","1"
"ICE","2,5-Furandione","108-31-6","1.0","1.0","1.0","1.0","0.0","71.75","1","Active","1","","0","Active","1","Active","1","0.16","1","1"
"ICE","Methyl methacrylate","80-62-6","1.0","1.0","1.0","1.0","0.0","26.75","1","Active","1","Active","1","Active","1","Active","1","90.0","1","1"
"ICE","Methyl salicylate","119-36-8","1.0","1.0","0.0","0.0","1.0","3.15","1","Active","1","Active","1","Inactive","1","Inactive","1","18.25","1","1"
"ICE","2-Methyl-3(2H)-isothiazolone","2682-20-4","1.0","1.0","1.0","1.0","0.0","48.575","1","Active","1","","0","Active","1","Active","1","1.9","1","1"
"ICE","Nonanoic acid","112-05-0","0.0","0.0","1.0","0.0","1.0","0.1","1","Inactive","1","","0","Active","1","Active","1","60.0","1","1"
"ICE","2-(Phenylmethylene)octanal","101-86-0","0.0","1.0","1.0","1.0","1.0","0.3","1","Active","1","Active","1","Active","1","Active","1","9.55","1","1"
"ICE","Phenyl benzoate","93-99-2","1.0","0.0","1.0","1.0","1.0","25.275","1","Inactive","1","Inactive","1","Active","1","Active","1","15.350000000000001","1","1"
"ICE","Phenylacetaldehyde","122-78-1","1.0","1.0","1.0","1.0","0.0","32.325","1","Active","1","","0","Active","1","Active","1","3.85","1","1"
"ICE","2-Mercaptobenzothiazole","149-30-4","1.0","1.0","1.0","1.0","0.0","50.974999999999994","1","Active","1","Active","1","Active","1","Active","1","1.7","1","1"
"ICE","Phthalic anhydride","85-44-9","1.0","1.0","1.0","1.0","0.0","30.75","1","Active","1","Inactive","1","Inactive","1","Active","1","0.16","1","1"
"ICE","Propylparaben","94-13-3","0.0","1.0","1.0","0.0","1.0","0.17","1","Active","1","Active","1","Active","1","Active","1","50.0","1","1"
"ICE","Resorcinol","108-46-3","1.0","0.0","1.0","1.0","1.0","3.6999999999999997","1","Inactive","1","Inactive","1","Active","1","Active","1","5.71","1","1"
"ICE","Salicylic acid","69-72-7","1.0","0.0","1.0","0.0","1.0","4.175","1","Inactive","1","Inactive","1","Active","1","Inactive","1","12.2","1","1"
"ICE","Sulfanilamide","63-74-1","0.0","0.0","0.0","0.0","0.0","0.2","1","Inactive","1","Inactive","1","Inactive","1","Inactive","1","","0","1"
"ICE","Sodium dodecyl sulfate","151-21-3","1.0","1.0","1.0","1.0","0.0","24.25","1","Active","1","Inactive","1","Active","1","Active","1","4.2","1","1"
"ICE","2-Methoxy-4-methylphenol","93-51-6","1.0","0.0","1.0","1.0","1.0","7.225","1","Inactive","1","","0","Active","1","Active","1","5.6","1","1"
"ICE","1-Chloro-2,4-dinitrobenzene","97-00-7","1.0","1.0","1.0","1.0","0.0","60.0","1","Active","1","Active","1","Active","1","Active","1","0.058499999999999996","1","1"
"ICE","1-Butanol","71-36-3","0.0","0.0","1.0","0.0","1.0","0.45","1","Inactive","1","Inactive","1","Active","1","Inactive","1","20.0","1","1"
"ICE","Trinitrobenzenesulfonic acid","2508-19-2","1.0","1.0","1.0","1.0","0.0","61.15","1","Active","1","Active","1","Active","1","","0","0.3","1","1"
"ICE","Estragole","140-67-0","1.0","1.0","1.0","1.0","0.0","27.0","1","Active","1","Inactive","1","Active","1","Inactive","1","19.1","1","1"
"ICE","3-Aminophenol","591-27-5","0.0","0.0","1.0","1.0","1.0","2.5","1","Inactive","1","","0","Active","1","Active","1","1.8","1","1"
"ICE","1,4-Benzenediamine","106-50-3","1.0","1.0","1.0","1.0","0.0","58.25","1","Active","1","Active","1","Active","1","Active","1","0.14","1","1"
"ICE","Benzalkonium chloride","8001-54-5","0.0","0.0","1.0","0.0","1.0","1.4","1","Inactive","1","","0","Inactive","1","Active","1","0.1","1","1"
"ICE","4'-Methoxyacetophenone","100-06-1","0.0","1.0","1.0","0.0","1.0","1.1","1","Active","1","Active","1","Active","1","Active","1","50.0","1","1"
