"Dataset","Chemical","CAS","KE1_call","KE2_call","KE3_call","LLNA_call","KE1_metric","KE1_metric__present","KE2_metric","KE2_metric__present","KE3_metric","KE3_metric__present","LLNA_EC3","LLNA_EC3__present","complete_case"
"SkinSensDB","Jasmine Absolute (Sambac)","91770-14-8","0.0","1.0","1.0","1.0","1.0050000000000001","1","21.7","1","13.71","1","36.4","1","1"
"SkinSensDB","4-AllyIanisole","140-67-0","1.0","1.0","1.0","1.0","51.05","1","39.0","1","54.0","1","18.0","1","1"
"SkinSensDB","HC RED No, 7","24905-87-1","1.0","1.0","1.0","1.0","53.95","1","12.0","1","11.1","1","1.2","1","1"
"SkinSensDB","4-Aminobenzoic acid","150-13-0","1.0","0.0","0.0","1.0","6.57","1","2000.0","1","200.0","1","10.0","1","1"
"SkinSensDB","4-Amino-3-nitrophenol","610-81-1","1.0","1.0","1.0","1.0","89.55","1","79.0","1","0.6","1","0.2","1","1"
"SkinSensDB","Anethole","104-46-1","0.0","0.0","1.0","1.0","4.8","1","2000.0","1","96.39","1","2.3","1","1"
"SkinSensDB","2,7-Dihydroxynaphthalin","582-17-2","1.0","1.0","1.0","1.0","32.0","1","22.71","1","24.9","1","2.8","1","1"
"SkinSensDB","Iodopropynyl butyl carbamate","55406-53-6","1.0","1.0","1.0","1.0","50.4","1","2.1","1","2.0","1","0.9","1","1"
"SkinSensDB","Methyl acrylate","96-33-3","1.0","1.0","1.0","1.0","95.35","1","124.0","1","7.949978134","1","20.0","1","1"
"SkinSensDB","4-(Methylamino) phenol hemisulfate salt","55-55-0","1.0","1.0","1.0","1.0","72.35","1","2.2","1","0.3","1","0.78","1","1"
"SkinSensDB","3-Dimethy1amino propylamine","109-55-7","0.0","1.0","1.0","1.0","5.1","1","85.5","1","54.0","1","2.2","1","1"
"SkinSensDB","Undecylenic acid","112-38-9","0.0","1.0","1.0","1.0","5.65","1","27.0","1","18.0","1","19.4","1","1"
"SkinSensDB","Maleic anhydride","108-31-6","1.0","0.0","0.0","1.0","96.5","1","1475.85","1","200.0","1","0.16","1","1"
"SkinSensDB","Tropolone","533-75-5","1.0","1.0","1.0","1.0","11.45","1","62.5","1","2.5","1","4.3","1","1"
"SkinSensDB","Propyl 4-hydroxybenzoate","94-13-3","1.0","1.0","1.0","1.0","11.05","1","5.0","1","23.9","1","50.0","1","1"
"SkinSensDB","Benzocaine","94-09-7","0.0","1.0","1.0","1.0","2.1","1","18.2","1","74.2","1","1.8","1","1"
"SkinSensDB","Steptomycine sulfate","3810-74-0","0.0","0.0","0.0","1.0","2.25","1","4000.0","1","1823.6","1","33.3","1","1"
"SkinSensDB","4-Ethoxymethylene-2-phenyl-2-oxazolin-5- one","15646-46-5","1.0","1.0","1.0","1.0","75.5","1","84.3","1","2.709971","1","0.0007","1","1"
"SkinSensDB","Oxalic Acid","144-62-7","1.0","1.0","0.0","1.0","6.720000000000004","1","717.198686","1","200.0","1","1.1e-05","1","1"
"SkinSensDB","Butyl acrylate","141-32-2","1.0","1.0","1.0","1.0","95.85","1","37.7","1","6.0","1","11.0","1","1"
"SkinSensDB","1 -Butanol","71-36-3","0.0","0.0","0.0","1.0","6.345000000000001","1","2000.0","1","200.0","1","20.0","1","1"
"SkinSensDB","2-Decenal","3913-71-1","1.0","1.0","1.0","1.0","52.30000005","1","11.3","1","4.3","1","2.5","1","1"
"SkinSensDB","1-Chlorooctadecane","3386-33-2","0.0","0.0","0.0","1.0","2.15","1","2000.0","1","200.0","1","16.0","1","1"
"SkinSensDB","1-Iodohexadecane","544-77-4","1.0","1.0","0.0","1.0","43.4","1","230.28","1","249.8","1","19.0","1","1"
"SkinSensDB","Dibutyl aniline","613-29-6","0.0","0.0","1.0","1.0","0.8","1","2000.0","1","20.6","1","19.6","1","1"
