Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,pattern,n_pos,concordant,misclassified
ICE,Imidazolidinyl urea,39236-46-9,1,1,1,1,111,3,True,0
ICE,Isoeugenol,97-54-1,1,1,1,1,111,3,True,0
ICE,Isopropanol,67-63-0,0,0,0,0,000,0,True,0
ICE,2-Aminophenol,95-55-6,1,1,1,1,111,3,True,0
ICE,Lauryl gallate,1166-52-5,1,1,1,1,111,3,True,0
ICE,2-(4-Tert-Butylbenzyl)propionaldehyde,80-54-6,1,0,1,1,101,2,False,1
ICE,Linalool,78-70-6,0,0,1,1,001,1,False,1
ICE,4-(4-Hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,31906-04-4,1,1,1,1,111,3,True,0
ICE,"2,5-Furandione",108-31-6,1,1,1,1,111,3,True,0
ICE,Methyl 2-nonynoate,111-80-8,1,1,1,1,111,3,True,0
ICE,Methyl methacrylate,80-62-6,1,1,1,1,111,3,True,0
ICE,2-Hydroxyethyl acrylate,818-61-1,1,1,1,1,111,3,True,0
ICE,Methyl salicylate,119-36-8,1,1,0,0,110,2,False,1
ICE,2-Methyl-3(2H)-isothiazolone,2682-20-4,1,1,1,1,111,3,True,0
ICE,Nonanoic acid,112-05-0,0,0,1,0,001,1,False,1
ICE,Oxalic acid,144-62-7,0,1,1,1,011,2,False,1
ICE,2-(Phenylmethylene)octanal,101-86-0,0,1,1,1,011,2,False,1
ICE,Hydroxycitronellal,107-75-5,1,1,1,1,111,3,True,0
ICE,Pentachlorophenol,87-86-5,1,0,1,1,101,2,False,1
ICE,Perillaldehyde,2111-75-3,1,1,1,1,111,3,True,0
ICE,Phenyl benzoate,93-99-2,1,0,1,1,101,2,False,1
ICE,Phenylacetaldehyde,122-78-1,1,1,1,1,111,3,True,0
ICE,Hydratropaldehyde,93-53-8,1,1,1,1,111,3,True,0
ICE,2-Mercaptobenzothiazole,149-30-4,1,1,1,1,111,3,True,0
ICE,Phthalic anhydride,85-44-9,1,1,1,1,111,3,True,0
ICE,Propylparaben,94-13-3,0,1,1,0,011,2,False,1
ICE,Pyridine,110-86-1,0,0,1,1,001,1,False,1
ICE,Resorcinol,108-46-3,1,0,1,1,101,2,False,1
ICE,1-Bromohexane,111-25-1,1,1,0,1,110,2,False,1
ICE,Glyoxal,107-22-2,1,1,1,1,111,3,True,0
ICE,Salicylic acid,69-72-7,1,0,1,0,101,2,False,1
ICE,Streptomycin sulfate (2:3),3810-74-0,0,0,0,1,000,0,True,1
ICE,Sulfanilamide,63-74-1,0,0,0,0,000,0,True,0
ICE,Sodium dodecyl sulfate,151-21-3,1,1,1,1,111,3,True,0
ICE,Bis(dimethylaminothiocarbonyl) disulfide,137-26-8,1,1,1,1,111,3,True,0
ICE,(2E)-2-Hexenal,6728-26-3,1,1,1,1,111,3,True,0
ICE,Trimellitic anhydride,552-30-7,1,0,1,1,101,2,False,1
ICE,alpha-Amylcinnamaldehyde,122-40-7,0,1,1,1,011,2,False,1
ICE,2-Methoxy-4-methylphenol,93-51-6,1,0,1,1,101,2,False,1
ICE,"2-Nitro-1,4-phenylenediamine",5307-14-2,1,1,1,1,111,3,True,0
ICE,"2,5-Diaminotoluene sulfate",615-50-9,1,1,1,1,111,3,True,0
ICE,"2,3-Butanedione",431-03-8,1,1,1,1,111,3,True,0
ICE,3-(Dimethylamino)propylamine,109-55-7,0,1,1,1,011,2,False,1
ICE,"1-Chloro-2,4-dinitrobenzene",97-00-7,1,1,1,1,111,3,True,0
ICE,3-Propylidenephthalide,17369-59-4,1,0,1,1,101,2,False,1
ICE,1-Butanol,71-36-3,0,0,1,0,001,1,False,1
