Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,Misclassified,KE2_conflict,KE3_conflict,KE1_metric,KE1_metric__present,KS_call,KS_call__present,LuSens_call,LuSens_call__present,hCLAT_call,hCLAT_call__present,USENS_call,USENS_call__present,LLNA_call_endpoint,LLNA_call_endpoint__present,LLNA_EPA_call,LLNA_EPA_call__present,LLNA_EC3,LLNA_EC3__present,LLNA_EC3_call,LLNA_call_source,LLNA_call__present,complete_case_option_1,complete_case_option_2,complete_case_option_3,complete_case_option_4,complete_case
ICE,DEET,134-62-3,1.0,0.0,1.0,,,0,1,,0,Inactive,1,,0,Inactive,1,Active,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,Methylpyruvate,600-22-6,0.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,Inactive,1,,0,,0,,0,2.4,1,1.0,EC3,1,0,0,1,1,1
ICE,Methyl 3-bromopropanoate,3395-91-3,1.0,1.0,0.0,,,0,0,,0,Active,1,,0,Inactive,1,,0,,0,,0,,0,,,0,0,0,0,0,0
ICE,"Benzenesulfonic acid, 2,4-dinitro-, sodium salt",885-62-1,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,2.0,1,1.0,Call,1,1,0,1,1,1
ICE,Bisphenol A glycidyl methacrylate,1565-94-2,1.0,1.0,0.0,1.0,1.0,0,0,,0,Active,1,,0,Inactive,1,,0,,0,,0,45.3,1,1.0,EC3,1,0,0,1,1,1
ICE,4-Vinylpyridine,100-43-6,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,1.0,1,,0,1.6,1,1.0,Call,1,1,0,1,1,1
ICE,Isopropyl tetradecanoate,110-27-0,0.0,0.0,1.0,1.0,1.0,0,1,,0,Inactive,1,,0,Active,1,Inactive,1,,0,,0,44.0,1,1.0,EC3,1,0,0,1,0,0
ICE,4-Amino-m-cresol,2835-99-6,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,,0,Active,1,,0,,0,1.5,1,1.0,EC3,1,0,0,1,1,1
ICE,Citronellol,106-22-9,1.0,0.0,1.0,1.0,1.0,0,0,,0,Inactive,1,,0,Active,1,Active,1,,0,,0,43.5,1,1.0,EC3,1,0,0,1,1,1
ICE,"1-Phenyl-1,2-propanedione",579-07-7,1.0,1.0,1.0,1.0,0.0,0,0,,0,Active,1,,0,Active,1,Active,1,,0,,0,1.3,1,1.0,EC3,1,0,0,1,1,1
ICE,4-Acetoxy benzoic acid,2345-34-8,1.0,0.0,0.0,1.0,1.0,0,0,,0,Inactive,1,,0,,0,Inactive,1,1.0,1,,0,30.0,1,1.0,Call,1,1,0,1,1,1
ICE,Ethyl acrylate,140-88-5,1.0,1.0,1.0,1.0,0.0,0,1,,0,Active,1,Active,1,Inactive,1,Active,1,1.0,1,,0,28.35,1,1.0,Call,1,1,0,1,0,0
