Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,Misclassified,KE2_conflict,KE3_conflict,KE1_metric,KE1_metric__present,KS_call,KS_call__present,LuSens_call,LuSens_call__present,hCLAT_call,hCLAT_call__present,USENS_call,USENS_call__present,LLNA_call_endpoint,LLNA_call_endpoint__present,LLNA_EPA_call,LLNA_EPA_call__present,LLNA_EC3,LLNA_EC3__present,LLNA_EC3_call,LLNA_call_source,LLNA_call__present,complete_case_option_1,complete_case_option_2,complete_case_option_3,complete_case_option_4,complete_case,LLNA_EC3_num,bf_KE2_call,bf_KE3_call,bf_KE2_conflict,bf_KE3_conflict,bf_LLNA_call,bf_LLNA_source,bf_complete_case,bf_misclassified
ICE,Lactic acid,50-21-5,0.0,0.0,0.0,0.0,0.0,0,0,0.65,1,Inactive,1,Inactive,1,Inactive,1,Inactive,1,0.0,1,,0,25.0,1,1.0,Call,1,1,1,1,1,1,25.0,0.0,0.0,0,0,0.0,Call,1,0.0
ICE,Oxazolone,15646-46-5,1.0,1.0,1.0,1.0,0.0,0,0,58.15,1,Active,1,Active,1,Active,1,Active,1,,0,,0,0.002,1,1.0,EC3,1,0,1,1,1,1,0.002,1.0,1.0,0,0,,,1,
ICE,Butyl acrylate,141-32-2,1.0,1.0,1.0,1.0,0.0,0,0,92.55,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,20.0,1,1.0,Call,1,1,1,1,1,1,20.0,1.0,1.0,0,0,1.0,Call,1,0.0
ICE,1-Naphthol,90-15-3,1.0,1.0,1.0,1.0,0.0,0,0,30.15,1,Active,1,,0,Active,1,Active,1,,0,,0,1.3,1,1.0,EC3,1,0,1,1,1,1,1.3,1.0,1.0,0,0,,,1,
ICE,"1,4-Benzoquinone",106-51-4,1.0,1.0,1.0,1.0,0.0,0,0,93.225,1,Active,1,Active,1,Active,1,Active,1,,0,,0,0.0099,1,1.0,EC3,1,0,1,1,1,1,0.0099,1.0,1.0,0,0,,,1,
ICE,Benzyl benzoate,120-51-4,0.0,1.0,0.0,1.0,1.0,0,0,1.6,1,Active,1,,0,Inactive,1,Inactive,1,,0,,0,17.0,1,1.0,EC3,1,0,1,1,1,1,17.0,1.0,0.0,0,0,,,1,
ICE,alpha-Bromotoluene,100-39-0,1.0,1.0,1.0,1.0,0.0,0,0,62.05,1,Active,1,,0,Active,1,Active,1,,0,,0,0.2,1,1.0,EC3,1,0,1,1,1,1,0.2,1.0,1.0,0,0,,,1,
ICE,Methyl styryl ketone,122-57-6,1.0,1.0,1.0,1.0,0.0,0,0,46.0,1,Active,1,Active,1,Active,1,Active,1,,0,,0,3.7,1,1.0,EC3,1,0,1,1,1,1,3.7,1.0,1.0,0,0,,,1,
ICE,3-Phenylprop-2-enal,104-55-2,1.0,1.0,1.0,1.0,0.0,0,0,58.7,1,Active,1,Active,1,Active,1,Active,1,,0,,0,1.3,1,1.0,EC3,1,0,1,1,1,1,1.3,1.0,1.0,0,0,,,1,
ICE,"1,2-Benzisothiazolin-3-one",2634-33-5,1.0,1.0,1.0,1.0,0.0,0,0,51.85,1,Active,1,,0,Active,1,Active,1,,0,1.0,1,4.8,1,1.0,EPA Classification,1,0,1,1,1,1,4.8,1.0,1.0,0,0,1.0,EPA Classification,1,0.0
ICE,Bisphenol A diglycidyl ether,1675-54-3,1.0,1.0,1.0,1.0,0.0,0,0,30.4,1,Active,1,,0,Active,1,Active,1,,0,,0,1.5,1,1.0,EC3,1,0,1,1,1,1,1.5,1.0,1.0,0,0,,,1,
