rule_id,complete_count,misclassified_count,ke2_mode,ke3_mode,exclude_conflicts,complete_mode,llna_priority
rule_057,68,11,or_positive,consensus_negative,True,metric_source_based,call
rule_058,68,20,or_positive,consensus_negative,True,metric_source_based,ec3
rule_059,68,0,or_positive,consensus_negative,True,metric_source_based,epa
rule_060,68,19,or_positive,consensus_negative,True,metric_source_based,call > epa > ec3
rule_061,68,19,or_positive,consensus_negative,True,metric_source_based,call > ec3
rule_062,68,20,or_positive,consensus_negative,True,metric_source_based,ec3 > call
rule_063,68,11,or_positive,consensus_negative,True,metric_source_based,call > epa
rule_064,68,20,or_positive,consensus_negative,True,metric_source_based,epa > ec3
rule_089,68,11,consensus_negative,or_positive,True,metric_source_based,call
rule_090,68,20,consensus_negative,or_positive,True,metric_source_based,ec3
rule_091,68,0,consensus_negative,or_positive,True,metric_source_based,epa
rule_092,68,19,consensus_negative,or_positive,True,metric_source_based,call > epa > ec3
rule_093,68,19,consensus_negative,or_positive,True,metric_source_based,call > ec3
rule_094,68,20,consensus_negative,or_positive,True,metric_source_based,ec3 > call
rule_095,68,11,consensus_negative,or_positive,True,metric_source_based,call > epa
rule_096,68,20,consensus_negative,or_positive,True,metric_source_based,epa > ec3
rule_121,68,11,consensus_negative,consensus_negative,True,metric_source_based,call
rule_122,68,20,consensus_negative,consensus_negative,True,metric_source_based,ec3
rule_123,68,0,consensus_negative,consensus_negative,True,metric_source_based,epa
rule_124,68,19,consensus_negative,consensus_negative,True,metric_source_based,call > epa > ec3
rule_125,68,19,consensus_negative,consensus_negative,True,metric_source_based,call > ec3
rule_126,68,20,consensus_negative,consensus_negative,True,metric_source_based,ec3 > call
rule_127,68,11,consensus_negative,consensus_negative,True,metric_source_based,call > epa
rule_128,68,20,consensus_negative,consensus_negative,True,metric_source_based,epa > ec3
rule_007,67,27,or_positive,or_positive,False,call_based,call > epa
rule_039,67,30,or_positive,consensus_negative,False,call_based,call > epa
