Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,Pattern,LLNA_call,Misclassified
SkinSensDB,"HC BLUE No,2",33229-34-4,1,0,0,100,1,1
SkinSensDB,1-Chlorooctadecane,3386-33-2,0,0,0,000,1,1
SkinSensDB,"1,2 dibromo 2,4 dicyanobutane",35691-65-7,1,1,1,111,1,0
SkinSensDB,"3,3,5-trimethylhexanoyl chloride",36727-29-4,1,0,1,101,1,0
SkinSensDB,Steptomycine sulfate,3810-74-0,0,0,0,000,1,1
SkinSensDB,Tetraethylene glycol monotetradecyl ether,39034-24-7,0,0,1,001,1,1
SkinSensDB,2-Decenal,3913-71-1,1,1,1,111,1,0
SkinSensDB,Imidazoidinyl urea,39236-46-9,1,1,1,111,1,0
SkinSensDB,"2,3-Butandione",431-03-8,1,1,1,111,1,0
SkinSensDB,3-Methylcatechol,488-17-5,1,1,1,111,1,0
SkinSensDB,Formaldehyde,50-00-0,1,1,1,111,1,0
SkinSensDB,DL-lactic acid,50-21-5or598-82-3,1,0,0,100,1,1
SkinSensDB,Farnesal,502-67-0or19317-11-4,1,1,1,111,1,0
SkinSensDB,Abietic acid,514-10-3,1,1,1,111,1,0
SkinSensDB,Squaric acid diethyl ester,5231-87-8,0,0,1,001,1,1
SkinSensDB,"2-Nitro-1 ,4-phenylendiamine",5307-14-2,1,1,1,111,1,0
SkinSensDB,"1,2,4-trihydroxybenzene",533-73-3,1,1,1,111,1,0
SkinSensDB,Tropolone,533-75-5,1,1,1,111,1,0
SkinSensDB,"2,2'-[(4-Aminophenyl)imino]diethanol sulfate (1:1)",54381-16-7,1,1,1,111,1,0
SkinSensDB,1-Iodohexadecane,544-77-4,1,1,0,110,1,0
SkinSensDB,4-(Methylamino) phenol hemisulfate salt,55-55-0,1,1,1,111,1,0
SkinSensDB,"1,2,4-Benzenetricarboxylic anhydride (Trimellitic anhydride)",552-30-7,1,0,1,101,1,0
SkinSensDB,2-Methyl-5-hydroxyethylaminophenol,55302-96-0,1,1,1,111,1,0
SkinSensDB,Iodopropynyl butyl carbamate,55406-53-6,1,1,1,111,1,0
SkinSensDB,"7,12-  Dimethylbenz[alpha]anthracene",57-97-6,0,1,1,011,1,0
SkinSensDB,Chloroantrol,57074-21-2,1,1,1,111,1,0
SkinSensDB,"1-Phenyl-1 ,2-propanedione",579-07-7,1,1,1,111,1,0
SkinSensDB,"2,7-Dihydroxynaphthalin",582-17-2,1,1,1,111,1,0
SkinSensDB,"Toluene 2,4-diisocyanate",584-84-9,1,1,1,111,1,0
SkinSensDB,Tocopherol,1959-02-09 00:00:00,0,1,0,010,1,1
SkinSensDB,3-AminophenoI,591-27-5,1,1,1,111,1,0
SkinSensDB,"2,4-Heptadienal",5910-85-0or4313-03-5,1,1,1,111,1,0
SkinSensDB,Methyl pyruvate,600-22-6,0,0,0,000,1,1
SkinSensDB,"2-Methyl-1,3-benzenediol",608-25-3,1,1,1,111,1,0
SkinSensDB,Penicillin,61-33-6,1,0,0,100,1,1
SkinSensDB,4-Amino-3-nitrophenol,610-81-1,1,1,1,111,1,0
SkinSensDB,Dibutyl aniline,613-29-6,0,0,1,001,1,1
SkinSensDB,"2,5-Diaminotoluene sulfate",615-50-9,1,1,1,111,1,0
SkinSensDB,Octocrylene,6197-30-4,0,1,1,011,1,0
SkinSensDB,Aniline,62-53-3,1,1,1,111,1,0
SkinSensDB,Dimethyl fumarate,624-49-7,1,1,1,111,1,0
SkinSensDB,Diethyl sulfate,64-67-5,1,1,1,111,1,0
SkinSensDB,3-nitro-p-hydroxyethylaminophenol,65235-31-6,1,1,1,111,1,0
SkinSensDB,Methyl methanesulfonate,66-27-3,1,1,1,111,1,0
SkinSensDB,"2,4-Diaminophenoxyethanol dihydrochlorid",66422-95-5,1,1,1,111,1,0
SkinSensDB,Isopropanol,67-63-0,0,0,0,000,1,1
SkinSensDB,DMSO,67-68-5,0,0,0,000,1,1
SkinSensDB,Chlorpromazine,69-09-0&50-53-3,0,0,1,001,1,1
SkinSensDB,Salicylic acid,69-72-7,1,0,0,100,1,1
SkinSensDB,"2,4-Dinitrofluorobenzene",70-34-8,1,1,1,111,0,1
SkinSensDB,Kanamycin sulfate,70560-51-9,1,0,0,100,0,0
SkinSensDB,1 -Butanol,71-36-3,0,0,0,000,1,1
SkinSensDB,"1,3-Bis-(2,4-diaminophenoxy)propane 4 HCl (tetrahydrochloride)",74918-21-1,1,1,1,111,1,0
SkinSensDB,Nonanoyl chloride,764-85-2,1,0,1,101,1,0
SkinSensDB,Cobalt (II) chloride,7646-79-9,1,1,1,111,1,0
SkinSensDB,Nickel chloride,7718-54-9,1,1,1,111,1,0
SkinSensDB,Zinc sulfate,7733-02-0,0,1,1,011,0,1
