CAS,Chemical,colleague_pattern,colleague_LLNA,ours_pattern,ours_LLNA_call,ours_LLNA_EC3,KE1_metric
78-70-6,Linalool,001,1,001,1.0,42.5,2.6500000000000004
80-62-6,Methyl methacrylate,111,1,111,1.0,90.0,26.75
818-61-1,2-Hydroxyethyl acrylate,111,1,111,,1.4,93.875
85-42-7,Hexahydrophthalic anhydride,101,1,101,1.0,0.84,
87-86-5,Pentachlorophenol,101,1,101,,20.0,7.25
885-62-1,"Benzenesulfonic acid, 2,4-dinitro-, sodium salt",111,1,111,1.0,2.0,
90-15-3,1-Naphthol,111,1,111,,1.3,30.15
91-64-5,Coumarin,010,1,011,,32.45,0.5
93-53-8,Hydratropaldehyde,111,1,111,,6.3,25.275000000000002
93-99-2,Phenyl benzoate,101,1,101,1.0,15.350000000000001,25.275
94-13-3,Propylparaben,011,1,011,0.0,50.0,0.17
95-55-6,2-Aminophenol,111,1,111,,0.45,57.15
96-33-3,Methyl acrylate,111,1,111,1.0,19.8,
97-00-7,"1-Chloro-2,4-dinitrobenzene",111,1,111,1.0,0.058499999999999996,60.0
97-90-5,Ethylene glycol dimethacrylate,111,1,111,1.0,28.0,56.775000000000006
