CAS,Chemical,colleague_KE1_call,colleague_KE2_call,colleague_KE3_call,current_KE1_call,current_KE2_or_call,current_KE3_or_call,current_KE2_consensus_call,current_KE3_consensus_call,KS_call,LuSens_call,hCLAT_call,USENS_call,LLNA_call,LLNA_EC3
3913-71-1,2-Decenal,1,1,1,1,1,1,1,1,Active,,,Active,,2.5
39236-46-9,Imidazolidinyl urea,1,1,1,1,1,1,1,1,Active,Active,Active,Active,1.0,24.0
431-03-8,"2,3-Butanedione",1,1,1,1,1,1,1,1,Active,Active,Active,Active,,11.0
4602-84-0,Farnesol,0,1,1,0,1,1,1,1,Active,,Active,Active,1.0,4.1
488-17-5,"3-Methyl-1,2-benzenediol",1,1,1,1,1,1,1,1,Active,,,Active,1.0,0.02
492-94-4,alpha-Furil,1,1,0,1,1,0,1,0,Active,,Inactive,,0.0,
50-00-0,Formaldehyde,1,1,1,1,1,1,1,1,Active,Active,Active,Active,1.0,0.845
50-21-5,Lactic acid,0,0,0,0,0,0,0,0,Inactive,Inactive,Inactive,Inactive,0.0,25.0
5231-87-8,Squaric acid diethyl ester,0,0,0,0,0,0,0,0,Inactive,,,Inactive,1.0,0.9
5307-14-2,"2-Nitro-1,4-phenylenediamine",1,1,1,1,1,1,1,1,Active,,Active,Active,,0.4
533-75-5,Tropolone,1,1,1,1,1,1,1,1,Active,,Active,,1.0,4.35
5392-40-5,"3,7-Dimethyl-2,6-octadienal",1,1,1,1,1,1,1,1,Active,Active,Active,Active,1.0,6.449999999999999
55-55-0,"Phenol, p-(methylamino)-, sulfate (2:1) (salt)",1,1,1,1,1,1,1,1,Active,Active,Active,Active,,0.8
55406-53-6,3-Iodo-2-propynyl-N-butylcarbamate,1,1,1,1,1,1,1,1,Active,,Active,Active,1.0,0.9
57-97-6,"7,12-Dimethylbenz[a]anthracene",0,1,0,0,1,0,1,0,Active,,,Inactive,,0.006
579-07-7,"1-Phenyl-1,2-propanedione",1,1,1,1,1,1,1,1,Active,,Active,Active,,1.3
591-27-5,3-Aminophenol,0,0,1,0,0,1,0,1,Inactive,,Active,Active,1.0,1.8
5910-85-0,"2,4-Heptadienal",1,1,1,1,1,1,1,1,Active,,Active,,,4.0
5989-27-5,D-Limonene,1,0,1,1,0,1,0,1,Inactive,,Active,Active,,69.0
600-22-6,Methylpyruvate,0,0,0,0,0,0,0,0,Inactive,,Inactive,,,2.4
61-33-6,Penicillin G,1,0,1,1,0,1,0,1,Inactive,Inactive,Active,Active,,19.8
613-29-6,"N,N-Dibutylaniline",0,0,0,0,0,0,0,0,Inactive,,Inactive,,,19.6
615-50-9,"2,5-Diaminotoluene sulfate",1,1,1,1,1,1,1,1,Active,,Active,Active,,0.4
62-53-3,Aniline,0,0,1,0,1,1,0,1,Active,Inactive,Active,Active,,33.3
6259-76-3,Hexyl salicylate,0,0,1,0,0,1,0,1,Inactive,,Active,Active,,0.2
